600918.SH	20200603	99991231
000166.SZ	20150126	99991231
601601.SH	20071225	99991231
300601.SZ	20170207	99991231
002050.SZ	20050607	99991231
601872.SH	20061201	99991231
300014.SZ	20091030	99991231
601989.SH	20091216	99991231
300122.SZ	20100928	99991231
000938.SZ	19991104	99991231
000069.SZ	19970910	99991231
002773.SZ	20150626	99991231
600690.SH	19931119	99991231
601155.SH	20151204	99991231
000708.SZ	19970326	99991231
002146.SZ	20070808	99991231
002008.SZ	20040625	99991231
600011.SH	20011206	99991231
600989.SH	20190516	99991231
000703.SZ	19970328	99991231
300059.SZ	20100319	99991231
601398.SH	20061027	99991231
600998.SH	20101102	99991231
002558.SZ	20110302	99991231
002594.SZ	20110630	99991231
601555.SH	20111212	99991231
600177.SH	19981119	99991231
603259.SH	20180508	99991231
600176.SH	19990422	99991231
000895.SZ	19981210	99991231
601888.SH	20091015	99991231
002415.SZ	20100528	99991231
600016.SH	20001219	99991231
600000.SH	19991110	99991231
600050.SH	20021009	99991231
002821.SZ	20161118	99991231
601138.SH	20180608	99991231
600900.SH	20031118	99991231
300142.SZ	20101112	99991231
300433.SZ	20150318	99991231
002958.SZ	20190326	99991231
600150.SH	19980520	99991231
601696.SH	20200226	99991231
300124.SZ	20100928	99991231
601658.SH	20191210	99991231
002032.SZ	20040817	99991231
002602.SZ	20110728	99991231
000063.SZ	19971118	99991231
600547.SH	20030828	99991231
000333.SZ	20130918	99991231
603392.SH	20200429	99991231
600066.SH	19970508	99991231
600015.SH	20030912	99991231
601618.SH	20090921	99991231
601328.SH	20070515	99991231
002153.SZ	20070813	99991231
300144.SZ	20101209	99991231
601006.SH	20060801	99991231
600585.SH	20020207	99991231
601336.SH	20111216	99991231
000671.SZ	19961218	99991231
002044.SZ	20050518	99991231
601162.SH	20181019	99991231
300498.SZ	20151102	99991231
600183.SH	19981028	99991231
600025.SH	20171215	99991231
601990.SH	20180613	99991231
601688.SH	20100226	99991231
000338.SZ	20070430	99991231
002120.SZ	20070306	99991231
000783.SZ	19970731	99991231
603369.SH	20140703	99991231
601607.SH	19940324	99991231
600340.SH	20031230	99991231
600118.SH	19970908	99991231
601236.SH	20190705	99991231
601916.SH	20191126	99991231
601288.SH	20100715	99991231
601216.SH	20110222	99991231
600606.SH	19920327	99991231
002241.SZ	20080522	99991231
600703.SH	19960528	99991231
600383.SH	20010412	99991231
601390.SH	20071203	99991231
603160.SH	20161017	99991231
002024.SZ	20040721	99991231
002460.SZ	20100810	99991231
601818.SH	20100818	99991231
600276.SH	20001018	99991231
002600.SZ	20110715	99991231
600309.SH	20010105	99991231
600893.SH	19960408	99991231
601933.SH	20101215	99991231
603993.SH	20121009	99991231
601319.SH	20181116	99991231
600655.SH	19920902	99991231
002271.SZ	20080910	99991231
601238.SH	20120329	99991231
002157.SZ	20070817	99991231
300413.SZ	20150121	99991231
600848.SH	19940324	99991231
000157.SZ	20001012	99991231
603195.SH	20200206	99991231
600436.SH	20030616	99991231
601816.SH	20200116	99991231
601088.SH	20071009	99991231
002714.SZ	20140128	99991231
601211.SH	20150626	99991231
601881.SH	20170123	99991231
600030.SH	20030106	99991231
600019.SH	20001212	99991231
